航班,始发地,目的地,经停,计划到达,航站楼,状态
3U8428,连城,成都,,16:20,T1,已于15:55到达
CZ8243,上海虹桥,成都,,16:20,T2,已于15:44到达
HU7751,深圳,成都,,16:20,T2,已于15:52到达
3U8652,攀枝花,成都,,16:25,T1,计划16:25到达
8L9608,三亚,成都,,16:25,T2,已于17:22到达
CA4186,沈阳桃仙,成都,,16:30,T2,已于17:07到达
ZH9543,无锡,成都,,16:40,T2,已于16:01到达
3U8884,北京,成都,,16:40,T1,已于16:09到达
KY8239,昆明,成都,,16:45,T2,已于16:23到达
ZH9488,泉州,成都,,16:45,T2,已于16:05到达
EU6670,哈尔滨,成都,,16:45,T2,已于16:12到达
EU2736,厦门,成都,,16:45,T2,已于16:15到达
3U8998,福州,成都,,16:50,T1,已于16:44到达
3U8772,嘉峪关,成都,,16:55,T1,已于16:46到达
CA4232,银川,成都,,17:05,T2,已于17:11到达
CA4190,长春,成都,,17:05,T2,已于17:00到达
ZH9472,南昌,成都,,17:05,T2,已于16:42到达
MU9696,常州,成都,,17:10,T2,已于16:40到达
CA408,加德满都,成都,,17:10,T1,已于17:16到达
3U8786,日照山字河,成都,,17:10,T1,已于16:38到达
CA4108,北京,成都,,17:10,T2,已于16:36到达
TV9926,哈尔滨,成都,,17:15,T2,计划17:15到达
CA4464,攀枝花,成都,,17:15,T2,计划17:15到达
CA4258,哈密,成都,,17:20,T2,已于16:30到达
CA4532,烟台,成都,,17:20,T2,已于17:25到达
EU6674,舟山,成都,,17:20,T2,已于17:20到达
MI936,新加坡樟宜,成都,,17:20,T1,已于17:05到达
CA4032,克拉玛依,成都,,17:25,T2,已于16:48到达
3U8696,拉萨,成都,,17:30,T1,已于16:53到达
CA4068,长沙,成都,,17:30,T2,已于17:36到达
CA4222,惠州,成都,,17:35,T2,已于17:41到达
MU5769,腾冲,成都,,17:35,T2,已于17:31到达
MU2815,南京,成都,,17:40,T2,已于17:29到达
TV9866,上海虹桥,成都,,17:40,T2,已于16:50到达
3U8928,宁波,成都,,17:40,T1,已于17:13到达
3U8812,大连,成都,,17:50,T1,已于17:43到达
HU7731,深圳,成都,,17:50,T2,已于17:17到达
HO1269,上海虹桥,成都,,17:50,T2,已于17:33到达
CA4318,广州,成都,,17:55,T2,已于17:37到达
CZ6673,沈阳桃仙,成都,,17:55,T2,已于17:47到达
EU6672,上海虹桥,成都,,17:55,T2,已于17:27到达
3U8878,哈尔滨,成都,,17:55,T1,已于18:24到达
CZ3903,北京,成都,,18:00,T2,已于17:39到达
HU7247,北京,成都,,18:05,T2,已于17:54到达
HU7351,广州,成都,,18:05,T2,已于17:51到达
8L9928,,成都,,18:05,T2,已于17:09到达
CA4116,北京,成都,,18:10,T2,已于17:45到达
CA4111,拉萨,成都,,18:15,T2,已于18:02到达
MU5755,大理,成都,,18:15,T2,已于17:57到达
FM9403,上海虹桥,成都,,18:20,T2,已于17:49到达
CZ3417,广州,成都,,18:20,T2,已于18:05到达
CA4591,西昌,成都,,18:25,T2,已于18:01到达
ZH9407,深圳,成都,,18:25,T2,已于18:07到达
MU5849,昆明,成都,,18:35,T2,已于18:09到达
CZ6249,大庆,成都,,18:35,T2,已于18:14到达
CZ6881,乌鲁木齐,成都,,18:35,T2,已于17:59到达
3U8106,太原,成都,,18:35,T1,已于18:28到达
CA4540,厦门,成都,,18:40,T2,已于18:26到达
CA416,缅甸仰光,成都,,18:40,TM,已于18:18到达
MF8447,泉州,成都,,18:40,T2,已于18:11到达
EU2710,沈阳桃仙,成都,,18:45,T2,已于18:36到达
CA4452,丽江,成都,,18:45,T2,计划18:45到达
3U8886,北京,成都,,18:45,T1,已于18:20到达
EU6667,成都,成都,,18:50,T2,计划18:50到达
NS3209,石家庄,成都,,18:50,T2,已于18:37到达
MU5779,香格里拉,成都,,18:55,T2,已于18:42到达
KN2307,石家庄,成都,,18:55,T2,已于18:46到达
CA4480,上海浦东,成都,,19:00,T2,计划19:00到达
MF8451,福州,成都,,19:00,T2,已于18:49到达
9C8758,普吉,成都,,19:05,T1,已于18:51到达
CA1407,北京,成都,,19:05,T2,已于18:34到达
3U8964,上海浦东,成都,,19:10,T1,已于18:22到达
3U8502,温哥华,成都,,19:10,T1,计划19:10到达
GJ8885,杭州,成都,,19:10,T2,已于18:31到达
CA4506,南京,成都,,19:15,T2,已于18:44到达
CA1949,上海浦东,成都,,19:15,T2,已于18:59到达
FM9549,上海虹桥,成都,,19:25,T2,已于18:40到达
MF8453,杭州,成都,,19:25,T2,已于19:05到达
CA408,加德满都,成都,,19:25,TM,计划19:25到达
3U8704,深圳,成都,,19:30,T1,已于18:55到达
3U8858,长春,成都,,19:35,T1,已于19:14到达
TV9824,拉萨,成都,,19:35,T2,已于19:07到达
HU7407,上海浦东,成都,,19:35,T2,已于19:09到达
TV9882,上海虹桥,成都,,19:40,T2,已于19:20到达
EY818,阿布扎比,成都,,19:40,T1,已于19:22到达
3U8734,广州,成都,,19:45,T1,已于19:12到达
CA4212,西宁,成都,,19:45,T2,已于19:18到达
EU2288,长春,成都,,19:50,T2,已于19:15到达
JD5177,三亚,成都,,19:50,T2,已于19:44到达
CA4404,拉萨,成都,,19:55,T2,已于19:38到达
MU5833,芒市,成都,,19:55,T2,已于19:25到达
