航班,始发地,目的地,经停,计划到达,航站楼,状态
MF5104,北京,成都,,1:55,T1,已于02:08到达
EU2208,三亚,成都,,1:55,T2,已于03:15到达
DD3140,普吉,成都,,2:00,T1,已于02:04到达
FD562,曼谷廊曼,成都,,2:00,T1,已于02:12到达
VJ5316,芽庄金兰机场,成都,,2:05,T1,已于01:59到达
GJ8804,大连,成都,,2:05,T2,已于02:02到达
G52868,满洲里,成都,,2:05,T2,已于01:59到达
G52720,兴义,成都,,2:10,T2,已于02:15到达
HO1057,上海浦东,成都,,2:15,T2,已于01:42到达
3U2237,上海浦东,成都,,2:15,T2,已于01:42到达
JT2639,哥打基纳巴卢,成都,,2:15,T1,已于02:57到达
OD672,吉隆坡,成都,,2:15,T1,已于02:54到达
ZA493,西哈努克,成都,,2:20,T1,已于02:39到达
FD298,罗勇,成都,,2:20,T1,已于02:43到达
SL932,曼谷廊曼,成都,,2:30,T1,已于03:02到达
UB803,缅甸仰光,成都,,2:30,T1,已于01:56到达
YG9061,杭州,成都,,3:10,T2,已于02:36到达
3U8392,开罗,成都,,4:30,T1,已于05:50到达
3U8272,哥本哈根,成都,,5:00,T1,已于04:32到达
HU7916,纽约,成都,,5:00,T1,已于04:37到达
CA414,普吉,成都,,5:05,T1,已于04:30到达
MU574,普吉,成都,,5:05,T1,已于03:49到达
3U8926,普吉,成都,,5:20,T1,已于05:03到达
3U8446,河内内拜,成都,,5:35,T1,已于05:00到达
3U8074,芽庄金兰机场,成都,,6:00,T1,已于06:05到达
CA432,法兰克福,成都,,6:05,T1,已于06:21到达
O36975,杭州,成都,,6:30,T2,已于06:17到达
8L812,曼谷素万那普,成都,,7:10,T1,已于06:55到达
HU8296,曼谷素万那普,成都,,7:10,T1,已于06:55到达
MU5036,曼谷素万那普,成都,,7:20,T1,已于06:59到达
3U8380,西安,成都,,7:40,T1,已于07:27到达
CZ4930,西安,成都,,7:40,T1,已于07:27到达
EU7028,西安,成都,,7:40,T1,已于07:27到达
G58664,西安,成都,,7:40,T1,已于07:27到达
ZH3860,西安,成都,,7:40,T1,已于07:27到达
QW6092,芽庄金兰机场,成都,,7:55,T1,已于07:08到达
3U8465,西昌,成都,,8:10,T1,已于07:41到达
CZ8647,广州,成都,,8:35,T2,已于08:22到达
MF4340,广州,成都,,8:35,T2,已于08:22到达
DR6521,昆明,成都,,8:40,T2,已于08:18到达
8L9947,昆明,成都,,8:40,T2,已于10:17到达
ZH9361,南宁,成都,,8:45,T2,已于08:26到达
CA3661,南宁,成都,,8:45,T2,已于08:26到达
CZ3403,广州,成都,,8:50,T2,已于08:32到达
3U3021,广州,成都,,8:50,T2,已于08:32到达
MF1255,广州,成都,,8:50,T2,已于08:32到达
MU3193,广州,成都,,8:50,T2,已于08:32到达
3U8669,昆明,成都,,8:50,T1,已于08:28到达
EU272Z,兴义,成都,,8:50,T2,已于08:35到达
EU2743,成都,成都,,8:50,T2,已于08:43到达
CA4479,成都,成都,,8:50,T2,已于09:09到达
CZ3621,深圳,成都,,8:55,T2,已于08:45到达
3U3073,深圳,成都,,8:55,T2,已于08:45到达
MF1445,深圳,成都,,8:55,T2,已于08:45到达
MU3281,深圳,成都,,8:55,T2,已于08:45到达
CA403,银川,成都,,8:55,T2,已于08:38到达
CA1086,南京,成都,,9:05,T2,已于08:56到达
TV9804,拉萨,成都,,9:10,T2,已于08:52到达
CA3912,拉萨,成都,,9:10,T2,已于08:52到达
CA4440,贵阳,成都,,9:10,T2,已于08:48到达
SC4440,贵阳,成都,,9:10,T2,已于08:48到达
ZH4440,贵阳,成都,,9:10,T2,已于08:48到达
3U8946,迪拜,成都,,9:15,T1,已于09:37到达
CA4216,稻城亚丁,成都,,9:25,T2,已于09:05到达
ZH4216,稻城亚丁,成都,,9:25,T2,已于09:05到达
MU5841,昆明,成都,,9:30,T2,已于09:13到达
3U5124,昆明,成都,,9:30,T2,已于09:13到达
MF3068,昆明,成都,,9:30,T2,已于09:13到达
CZ3473,郑州,成都,,9:30,T2,已于09:16到达
3U3059,郑州,成都,,9:30,T2,已于09:16到达
MF1353,郑州,成都,,9:30,T2,已于09:16到达
CZ3457,深圳,成都,,9:35,T2,已于08:59到达
3U3053,深圳,成都,,9:35,T2,已于08:59到达
MF1297,深圳,成都,,9:35,T2,已于08:59到达
MF1337,深圳,成都,,9:35,T2,已于08:59到达
MU3279,深圳,成都,,9:35,T2,已于08:59到达
JD5161,广州,成都,,9:40,T2,已于09:33到达
ZH9441,广州,成都,,9:45,T2,已于09:44到达
CA3741,广州,成都,,9:45,T2,已于09:44到达
CA4431,成都,成都,,9:45,T2,已于09:28到达
9C8985,石家庄,成都,,9:45,T2,已于09:31到达
3U8896,北京,成都,,9:50,T1,计划09:50到达
CZ9658,北京,成都,,9:50,T1,计划09:50到达
ZH3808,北京,成都,,9:50,T1,计划09:50到达
MU5233,太原,成都,,9:50,T2,已于09:51到达
3U5100,太原,成都,,9:50,T2,已于09:51到达
CA8221,武汉,成都,,9:50,T2,已于09:42到达
ZH4821,武汉,成都,,9:50,T2,已于09:42到达
ZH9541,无锡,成都,,9:55,T2,已于09:25到达
CA3841,无锡,成都,,9:55,T2,已于09:25到达
3U8006,稻城亚丁,成都,,9:55,T1,已于09:35到达
CZ4902,稻城亚丁,成都,,9:55,T1,已于09:35到达
EU7002,稻城亚丁,成都,,9:55,T1,已于09:35到达
MU4630,稻城亚丁,成都,,9:55,T1,已于09:35到达
ZH3830,稻城亚丁,成都,,9:55,T1,已于09:35到达
CA4010,邦达,成都,,10:00,T2,已于09:24到达
CA4008,邦达,成都,,10:10,T2,已于09:40到达
CA4194,北京,成都,,10:10,T2,已于09:59到达
ZH4194,北京,成都,,10:10,T2,已于09:59到达
MU2805,南京,成都,,10:10,T2,已于09:47到达
3U5042,南京,成都,,10:10,T2,已于09:47到达
CZ3447,武汉,成都,,10:10,T2,已于10:01到达
MF1327,武汉,成都,,10:10,T2,已于10:01到达
GX8965,南宁,成都,,10:15,T2,已于09:53到达
KY3019,长沙,成都,,10:15,T2,已于10:13到达
CA5789,长沙,成都,,10:15,T2,已于10:13到达
EU2231,成都,成都,,10:20,T2,已于10:30到达
KN5215,北京南苑,成都,,10:20,T2,已于10:16到达
CA8971,大连,成都,,10:20,T2,已于10:05到达
SC8971,大连,成都,,10:20,T2,已于10:05到达
TV6491,大连,成都,,10:20,T2,已于10:05到达
ZH4671,大连,成都,,10:20,T2,已于10:05到达
MU9937,宁波,成都,,10:20,T2,已于09:55到达
MF8435,福州,成都,,10:25,T2,已于10:07到达
MF8401,厦门,成都,,10:25,T2,已于10:03到达
DZ6301,南通,成都,,10:25,T2,已于10:37到达
CA4418,昆明,成都,,10:25,T2,已于09:57到达
KY4418,昆明,成都,,10:25,T2,已于09:57到达
SC4418,昆明,成都,,10:25,T2,已于09:57到达
ZH4418,昆明,成都,,10:25,T2,已于09:57到达
HU7741,深圳,成都,,10:30,T2,已于10:11到达
CA4330,深圳,成都,,10:30,T2,已于13:27到达
SC4330,深圳,成都,,10:30,T2,已于13:27到达
TV6368,深圳,成都,,10:30,T2,已于13:27到达
ZH4330,深圳,成都,,10:30,T2,已于13:27到达
HU7147,北京,成都,,10:35,T2,已于10:19到达
CZ3401,广州,成都,,10:35,T2,已于10:27到达
3U3171,广州,成都,,10:35,T2,已于10:27到达
MF1253,广州,成都,,10:35,T2,已于10:27到达
MU3191,广州,成都,,10:35,T2,已于10:27到达
UQ2515,乌鲁木齐,成都,,10:35,T2,已于10:45到达
3U8100,圣彼得堡,成都,,10:35,T1,已于11:17到达
CA1741,杭州,成都,,10:35,T2,已于10:47到达
TV6247,杭州,成都,,10:35,T2,已于10:47到达
ZH1741,杭州,成都,,10:35,T2,已于10:47到达
CA1427,天津,成都,,10:40,T2,已于10:35到达
TV6233,天津,成都,,10:40,T2,已于10:35到达
ZH1427,天津,成都,,10:40,T2,已于10:35到达
CA4416,大理,成都,,10:40,T2,已于10:51到达
SC4416,大理,成都,,10:40,T2,已于10:51到达
