	log2FoldChange
101117375	1.283979018
101103563	0.90596882
101112732	1.852699886
101113262	-3.845229068
101119678	-4.634138621
101115360	1.037231643
101121110	2.812095169
101107416	1.126774325
443141	0.866712074
101117268	-1.191795271
100192428	-2.267342228
101118510	2.829967985
101114274	2.886369205
101102793	0.741646519
105610031	2.677982241
101112585	-1.515986757
101119017	-1.539570924
101115115	-3.66686521
101102276	-1.31615027
101113708	1.013131088
101109371	1.070776756
101122722	-1.090978083
101107247	-3.728862199
100820744	-2.3637168
100307048	1.34186799
101114735	-1.17617418
443518	0.829408953
101120989	2.665481962
101104485	1.561177913
101123651	-1.282406991
101122958	1.199257718
101107107	1.090688947
101112975	2.211346824
101105588	0.822038561
101120976	0.833970642
101104163	2.476719384
101116936	-1.913142854
105615264	-2.370996971
101112046	4.168055718
101118393	0.948928872
101114759	0.883754713
101109091	0.970858162
101105594	-1.924132231
101108532	1.421218304
101122671	1.226755352
105603042	-1.116550334
101118196	-2.591258925
105609492	4.080253806
101108734	0.867801693
101117499	1.381378452
101108407	-1.090453555
101123556	1.405295227
101103590	0.831138275
101115643	-2.249823082
105603997	2.345551882
101110778	-5.003318893
101117382	1.804200205
101108953	1.564504015
101111581	-2.098169005
101112321	1.063474637
780457	1.442905182
101109272	2.982552229
100216462	2.27097852
101117574	1.19078151
106990587	-4.564250421
101118911	0.885909057
101110092	-1.58777401
105607140	-2.572383042
101121418	1.470920356
101114869	-1.333429411
101105858	-3.399874603
101111321	1.602737093
101119848	3.090760602
114113054	4.407520083
654334	1.300201236
101110819	1.472236023
101111082	-4.683863571
101113218	0.940805403
101111544	-0.932860665
101116802	0.895837561
101109648	1.097228409
100302555	0.837390713
101113896	-0.823259461
101121323	-1.459517561
101107312	-1.091293178
101114332	-2.794764819
101121833	-1.412915915
494432	0.927098819
101113882	1.53744398
101113204	1.069273842
101103674	-1.876247644
101116012	1.071446371
101116121	-1.287259449
114117869	1.928763557
101103059	1.633146717
101114679	2.031464235
101103564	1.425939105
101111258	0.705866454
101112109	-1.349977552
101109723	-1.597856781
101119359	1.342498158
101112808	-1.185066818
100147800	-1.550249103
100169934	-0.924919909
101109305	1.706642048
101105644	1.803850208
114110832	1.25118854
101112473	1.207685438
101123041	-1.605081921
101109277	-1.230866504
101112388	1.156403276
101118747	1.356513804
101112362	0.847495749
106990809	-1.526082324
105610030	2.346407429
101122929	-1.474830444
114114536	-1.721891155
101107740	-1.522998755
101123510	-1.611626125
101111179	2.460646201
101110685	1.009656603
100294659	1.506406499
105606599	-2.088308053
101114127	-0.975922549
101107677	0.958815203
105614839	-3.087189037
101117184	5.274846014
101116448	-0.924737449
554333	-1.456385854
105602884	-3.566151239
443157	4.379852469
100500781	-1.417793148
100302064	0.785435955
101117761	1.424895396
101114115	0.718227728
101120347	-2.896073171
101104034	-1.58477347
101109162	2.132689428
101108886	-2.711076915
101120724	-1.166675299
101103558	0.926967248
101104590	1.248494756
101123241	-2.47020903
101102385	1.098682609
101122064	0.827904389
101116894	-2.249889432
101113762	-0.963917537
101110604	-2.857971352
101118071	0.846870058
105603900	4.634581071
101118096	-2.533173765
101103890	-1.36637958
101106432	-0.794480355
101106285	-2.739779907
101110019	0.909491675
101106511	1.104432052
101117955	3.124322282
101103016	-2.45678005
105615614	1.049206911
101115313	1.221714131
101122442	-1.251259542
101104752	-1.63363466
101103804	1.43094962
101117639	-1.937837959
101123605	1.906729888
101114309	0.849819887
101114239	1.536447459
